Team,DisplayName,ShortDisplayName,Division,Logo,BetterLogos,Color
UConn Huskies,Uconn,Uconn,A,Connecticut.png,Connecticut_Huskies.png,#111c57
ULM Warhawks,ULM,ULM,A,Louisiana-Monroe.png,La_-Monroe_Warhawks.png,#c1a13e
UMass Minutemen,Umass,Umass,A,Massachusetts.png,massachusetts-minutemen.png,#a5000c
UNLV Rebels,UNLV,UNLV,A,UNLV.png,UNLV_Rebels.png,#d60124
USC Trojans,USC,USC,A,USC.png,USC_Trojans.png,#ae2531
Utah State Aggies,Utah State,Utah State,A,Utah_State.png,Utah_St__Aggies.png,#012e60
Utah Utes,Utah,Utah,A,Utah.png,Utah_Utes.png,#cd1041
UTEP Miners,UTEP,UTEP,A,UTEP.png,UTEP_Miners.png,#fe7c3d
UTSA Roadrunners,UTSA,UTSA,A,UTSA.png,tx-san-antonio-roadrunners.png,#f47321
Vanderbilt Commodores,Vanderbilt,Van,A,Vanderbilt.png,Vanderbilt_Commodores.png,#b5890f
Virginia Cavaliers,Virginia,Vir,A,Virginia.png,Virginia_Cavaliers.png,#eb5016
Virginia Tech Hokies,Virginia Tech,VT,A,Virginia_Tech.png,Virginia_Tech_Hokies.png,#751f27
Wake Forest Demon Deacons,Wake Forest,Wake,A,Wake_Forest.png,Wake_Forest_Demon_Deacons.png,#cc9a45
Washington Huskies,Washington,Wa,A,Washington.png,Washington_Huskies.png,#2b2f64
Washington State Cougars,Wash. State,Wa-S,A,Washington_State.png,Washington_St__Cougars.png,#97002f
West Virginia Mountaineers,West Virginia,WV,A,West_Virginia.png,West_Virginia_Mountaineers.png,#ffc600
Western Kentucky Hilltoppers,West Kentucky,W-Ken,A,Western_Kentucky.png,W__Kentucky_Hilltoppers.png,#f52026
Western Michigan Broncos,West Michigan,W-Mich,A,Western_Michigan.png,W__Michigan_Broncos.png,#69360c
Wisconsin Badgers,Wisconsin,Wis,A,Wisconsin.png,Wisconsin_Badgers.png,#a00000
Wyoming Cowboys,Wyoming,Wyom,A,Wyoming.png,Wyoming_Cowboys.png,#533b22
Alabama A&M Bulldogs,Alabama Bulldogs,A&M,AA,Alabama_A&M.png,,#7e1616
Alabama State Hornets,Alabama State,Ala-St,AA,Alabama_State.png,,#231f20
Albany Great Danes,Albany,Albany,AA,Albany.png,,#fcba09
Alcorn State Braves,Alcorn,Alcorn,AA,Alcorn_State.png,,#8f199f
Appalachian State Mountaineers,App. State,App-St,AA,Appalachian_State.png,,#efc638
Arkansas Pine Bluff Golden Lions,Arkansas Lions,Ark-Pine,AA,Arkansas-Pine_Bluff.png,,#ecba00
Austin Peay Governors,Austin Peay,A-Peay,AA,Austin_Peay.png,,#8e0b0b
Bethune-Cookman Wildcats,Bethune-Cookman,Beth Cook,AA,Bethune-Cookman.png,,#8c0f28
Brown Bears,Brown,Brown,AA,Brown.png,,#522e17
Bryant Bulldogs,Bryant,Bryant,AA,Bryant_University.png,,#a59474
Bucknell Bison,Bucknell,Bucknell,AA,Bucknell.png,,#ff7000
Butler Bulldogs,Butler,Butler,AA,Butler.png,,#080808
Cal Poly Mustangs,Cal Poly,Cal-Poly,AA,Cal_Poly.png,,#123c31
Campbell Fighting Camels,Campbell,Campbell,AA,Campbell.png,,#ff8a31
Central Arkansas Bears,Cent. Arkansas,C-Ark,AA,Central_Arkansas.png,,#4f2683
Central Connecticut State Blue Devils,Cent. Connecticut St.,C-Conn,AA,Central_Connecticut_State.png,,#00529b
Charleston Southern Buccaneers,Charleston,Char-St,AA,Charleston_Southern.png,,#00447c
Chattanooga Mocs,Chattanooga,Chat,AA,Chattanooga.png,,#eeb311
Coastal Carolina Chanticleers,Coastal Carolina,CC,AA,Coastal_Carolina.png,,#e7a83b
Colgate Raiders,Colgate,Colgate,AA,Colgate.png,,#a10f21
Columbia Lions,Columbia,Columbia,AA,Columbia.png,,#7bc2f1
Cornell Big Red,Cornell,Cornell,AA,Cornell.png,,#d60027
Dartmouth Big Green,Dartmouth,Dmouth,AA,Dartmouth.png,,#005730
Davidson Wildcats,Davidson,Davidson,AA,Davidson.png,,#e51937
Dayton Flyers,Dayton,Dayton,AA,Dayton.png,,#e90000
Delaware Fightin' Blue Hens,Delaware,DS,AA,Delaware.png,,#007ac2
Delaware State Hornets,Delaware State,DSU,AA,Delaware_State.png,,#f31a2c
Drake Bulldogs,Drake,Drake,AA,Drake.png,,#004297
Duquesne Dukes,Duquesne,Duq,AA,Duquesne.png,,#002d62
Eastern Illinois Panthers,E. Illinois,E-Ill,AA,Eastern_Illinois.png,,#0357a1
Eastern Kentucky Colonels,E. Kentucky,E-Kent,AA,Eastern_Kentucky.png,,#690515
Eastern Washington Eagles,E. Washington,E-Wash,AA,Eastern_Washington.png,,#d83138
Elon Phoenix,Elon,Elon,AA,Elon.png,,#9E+151
Florida A&M Rattlers,Florida Rattlers,F-A&M,AA,Florida_A&M.png,,#21b261
Fordham Rams,Fordham,Fordham,AA,Fordham.png,,#860038
Furman Paladins,Furman,Furman,AA,Furman.png,,#381668
Gardner Webb Runnin' Bulldogs,Gardner Webb,GardWebb,AA,Gardner-Webb.png,,#be2c37
Georgetown Hoyas,Georgetown,Gtown,AA,Georgetown.png,,#49487c
Georgia Southern Eagles,Georgia South,Geor-S,AA,Georgia_Southern.png,,#003376
Georgia State Panthers,Georgia State,Geor-St,AA,Georgia_State.png,,#005ba9
Grambling State Tigers,Grambling State,Gramb-St,AA,Grambling_State.png,,#e17b03
Hampton Pirates,Hampton,Hampton,AA,Hampton.png,,#0067ac
Harvard Crimson,Harvard,Harvard,AA,Harvard.png,,#c41130
Holy Cross Crusaders,Holy Cross,HCross,AA,Holy_Cross.png,,#909095
Howard Bison,Howard,How,AA,Howard.png,,#09347a
Idaho State Bengals,Idaho State,Id-St,AA,Idaho.png,,#ffcd0f
Illinois State Redbirds,Illinois State,Ill-St,AA,Illinois_State.png,,#d6132c
Indiana State Sycamores,Indiana State,Ind-St,AA,Indiana_State.png,,#00669a
Jackson State Tigers,Jackson State,JackSt,AA,Jackson_State.png,,#123297
Jacksonville Dolphins,Jacksonville,Jackville,AA,Jacksonville.png,,#008468
Jacksonville State Gamecocks,Jacksonville State,Jack-St,AA,Jacksonville_State.png,,#e83d3e
James Madison Dukes,James Madison,JM,AA,James_Madison.png,,#d5a10e
Lafayette Leopards,Lafayette,Lafay,AA,Lafayette.png,,#900028
Lamar Cardinals,Lamar,Lamar,AA,Lamar.png,,#e51937
Lehigh Mountain Hawks,Lehigh,Lehigh,AA,Lehigh.png,,#994708
Liberty Flames,Liberty,Liberty,AA,Liberty.png,,#193d94
Maine Black Bears,Maine,Maine,AA,Maine.png,,#499fd1
Marist Red Foxes,Marist,Marist,AA,Marist.png,,#ef0e12
McNeese State Cowboys,McNeese State,McNSt,AA,McNeese_State.png,,#00529c
Mississippi Valley State Delta Devils,Mississippi Val. St.,MissVlySt,AA,Mississippi_Valley_State.png,,#005429
Missouri State Bears,Missouri State,MissouSt,AA,Missouri_State.png,,#5d0000
Monmouth Hawks,Monmouth,Monmouth,AA,Monmouth.png,,#041744
Montana Grizzlies,Montana,Mont,AA,Montana.png,,#7e2d5d
Montana State Bobcats,Montana State,MontSt,AA,Montana_State.png,,#d3af7e
Morehead State Eagles,Morehead State,MHS,AA,Morehead_State.png,,#fff822
Morgan State Bears,Morgan State,MorganSt,AA,Morgan_State.png,,#cb6b35
Murray State Racers,Murray State,MurraySt,AA,Murray_State.png,,#ffe000
New Hampshire Wildcats,New Hampshire,NHamp,AA,New_Hampshire.png,,#004990
Nicholls State Colonels,Nicholls State,NichSt,AA,Nicholls_State.png,,#c41230
Norfolk State Spartans,Norfolk State,NorfSt,AA,Norfolk_State.png,,#439f87
North Carolina A&T Aggies,NC Aggies,NCA&T,AA,North_Carolina_A&T.png,,#fdb827
North Carolina Central Eagles,NC Central,NCCent,AA,North_Carolina_Central.png,,#880023
North Dakota Fighting Sioux,North Dakota,NDak,AA,North_Dakota.png,,#00a261
North Dakota State Bison,ND State,NDakSt,AA,North_Dakota_State.png,,#ffda0f
Northern Arizona Lumberjacks,North Arizona,NAriz,AA,Northern_Arizona.png,,#013272
Northern Colorado Bears,North Colorado,NColo,AA,Northern_Colorado.png,,#19548d
Northern Iowa Panthers,North Iowa,N Iowa,AA,Northern_Iowa.png,,#473282
Northwestern State Demons,NW State,NW State,AA,Northwestern_State.png,,#f68428
Old Dominion Monarchs,Old Dominion,ODomm,AA,Old_Dominion.png,,#004d7b
Penn Quakers,Penn,Penn,AA,Pennsylvania.png,,#a90117
Portland State Vikings,Portland State,PortSt,AA,Portland_State.png,,#19472d
Prairie View A&M Panthers,Prairie View,PrairieA&M,AA,Prairie_View_A&M.png,,#8a499c
Presbyterian Blue Hose,Presbyterian,Presb,AA,Presbyterian.png,,#164694
