Team,DisplayName,Division,Logo,Color
New Mexico Lobos,New Mexico,A,New_Mexico.png,#da1348
New Mexico State Aggies,NM State,A,New_Mexico_State.png,#891115
Nicholls State Colonels,Nicholls State,AA,Nicholls_State.png,#c41230
Norfolk State Spartans,Norfolk State,AA,Norfolk_State.png,#439f87
North Carolina A&T Aggies,NC Aggies,AA,North_Carolina_A&T.png,#fdb827
North Carolina Central Eagles,NC Central,AA,North_Carolina_Central.png,#880023
North Carolina Tar Heels,North Carolina,A,North_Carolina.png,#98bfe5
North Dakota Fighting Sioux,North Dakota,AA,North_Dakota.png,#00a261
North Dakota State Bison,ND State,AA,North_Dakota_State.png,#ffda0f
North Texas Mean Green,North Texas,A,North_Texas.png,#00853d
Northern Arizona Lumberjacks,North Arizona,AA,Northern_Arizona.png,#013272
Northern Colorado Bears,North Colorado,AA,Northern_Colorado.png,#19548d
Northern Illinois Huskies,North Illinois,A,Northern_Illinois.png,#f92b44
Northern Iowa Panthers,North Iowa,AA,Northern_Iowa.png,#473282
Northwestern State Demons,NW State,AA,Northwestern_State.png,#f68428
Northwestern Wildcats,Northwester Wildcats,A,Northwestern.png,#393996
Notre Dame Fighting Irish,Notre Dame,A,notre-dame-fighting-irish.png,#b99c00
Ohio Bobcats,Ohio,A,Ohio.png,#2f5b36
Ohio State Buckeyes,Ohio State,A,Ohio_State.png,#e13226
Oklahoma Sooners,Oklahoma,A,Oklahoma.png,#ba0034
Oklahoma State Cowboys,Oklahoma State,A,Oklahoma_State.png,#f9a13b
Old Dominion Monarchs,Old Dominion,AA,Old_Dominion.png,#004d7b
Ole Miss Rebels,Ole Miss,A,Ole_Miss.png,#ff002c
Oregon Ducks,Oregon,A,Oregon.png,#044520
Oregon State Beavers,Oregon State,A,Oregon_State.png,#ef4d04
Penn Quakers,Penn,AA,Pennsylvania.png,#a90117
Penn State Nittany Lions,Penn State,A,Penn_State.png,#00265d
Pittsburgh Panthers,Pittsburgh,A,Pittsburgh.png,#003263
Portland State Vikings,Portland State,AA,Portland_State.png,#19472d
Prairie View A&M Panthers,Prairie View,AA,Prairie_View_A&M.png,#8a499c
Presbyterian Blue Hose,Presbyterian,AA,Presbyterian.png,#164694
Princeton Tigers,Princeton,AA,Princeton.png,#f9a23a
Purdue Boilermakers,Purdue,A,Purdue.png,#b49926
Rhode Island Rams,Rhode Island,AA,Rhode_Island.png,#3792c6
Rice Owls,Rice,A,Rice.png,#003d7d
Richmond Spiders,Richmond,AA,Richmond.png,#013256
Robert Morris Colonials,Robert Morris,AA,Robert_Morris.png,#b41c2d
Rutgers Scarlet Knights,Rutgers,A,Rutgers.png,#ee373d
Sacramento State Hornets,Sacramento State,AA,Sacramento_State.png,#00573c
Sacred Heart Pioneers,Sacred Heart,AA,Sacred_Heart.png,#ce1140
Saint Francis Red Flash,Saint Francis,AA,St__Francis_(PA).png,#d31647
Sam Houston State Bearkats,Sam Houston State,AA,Sam_Houston_State.png,#f78f1e
Samford Bulldogs,Samford,AA,Samford.png,#005485
